faiss_id,passage_id
597,bb_6443::r274::c14
598,bb_6443::r274::c15
599,bb_6443::r274::c16
600,bb_6443::r274::c17
601,bb_6443::r274::c18
602,bb_6443::r274::c19
603,bb_6443::r274::c2
604,bb_6443::r274::c3
605,bb_6443::r274::c4
606,bb_6443::r274::c5
607,bb_6443::r274::c6
608,bb_6443::r274::c7
609,bb_6443::r274::c8
610,bb_6443::r274::c9
611,bb_6957::r250::c0
612,bb_6957::r250::c1
613,bb_6957::r250::c10
614,bb_6957::r250::c11
615,bb_6957::r250::c12
616,bb_6957::r250::c13
617,bb_6957::r250::c14
618,bb_6957::r250::c15
619,bb_6957::r250::c16
620,bb_6957::r250::c17
621,bb_6957::r250::c18
622,bb_6957::r250::c19
623,bb_6957::r250::c2
624,bb_6957::r250::c20
625,bb_6957::r250::c21
626,bb_6957::r250::c22
627,bb_6957::r250::c23
628,bb_6957::r250::c24
629,bb_6957::r250::c25
630,bb_6957::r250::c26
631,bb_6957::r250::c27
632,bb_6957::r250::c28
633,bb_6957::r250::c29
634,bb_6957::r250::c3
635,bb_6957::r250::c30
636,bb_6957::r250::c31
637,bb_6957::r250::c32
638,bb_6957::r250::c33
639,bb_6957::r250::c34
640,bb_6957::r250::c35
641,bb_6957::r250::c36
642,bb_6957::r250::c37
643,bb_6957::r250::c38
644,bb_6957::r250::c39
645,bb_6957::r250::c4
646,bb_6957::r250::c40
647,bb_6957::r250::c41
648,bb_6957::r250::c42
649,bb_6957::r250::c43
650,bb_6957::r250::c44
651,bb_6957::r250::c45
652,bb_6957::r250::c46
653,bb_6957::r250::c47
654,bb_6957::r250::c5
655,bb_6957::r250::c6
656,bb_6957::r250::c7
657,bb_6957::r250::c8
658,bb_6957::r250::c9
659,bb_7071::r88::c0
660,bb_7071::r88::c1
661,bb_7071::r88::c2
662,bb_7071::r88::c3
663,bb_7149::r400::c0
664,bb_7149::r400::c1
665,bb_7149::r400::c2
666,bb_7149::r400::c3
667,bb_7149::r400::c4
668,bb_7149::r400::c5
669,bb_7149::r400::c6
670,bb_7149::r400::c7
671,bb_7188::r327::c0
672,bb_7188::r327::c1
673,bb_7188::r327::c2
674,bb_7188::r327::c3
675,bb_7188::r327::c4
676,bb_7188::r327::c5
677,bb_7188::r327::c6
678,bb_7188::r327::c7
679,bb_7188::r327::c8
680,bb_7188::r327::c9
681,bb_7262::r394::c0
682,bb_7262::r394::c1
683,bb_7262::r394::c10
684,bb_7262::r394::c11
685,bb_7262::r394::c12
686,bb_7262::r394::c13
687,bb_7262::r394::c2
688,bb_7262::r394::c3
689,bb_7262::r394::c4
690,bb_7262::r394::c5
691,bb_7262::r394::c6
692,bb_7262::r394::c7
693,bb_7262::r394::c8
694,bb_7262::r394::c9
695,bb_7279::r110::c0
696,bb_7279::r110::c1
697,bb_7279::r110::c2
698,bb_7279::r110::c3
699,bb_7279::r110::c4
700,bb_7279::r110::c5
701,bb_7279::r110::c6
702,bb_7279::r110::c7
703,bb_7279::r110::c8
704,bb_7364::r332::c0
705,bb_7364::r332::c1
706,bb_7364::r332::c10
707,bb_7364::r332::c11
708,bb_7364::r332::c12
709,bb_7364::r332::c13
710,bb_7364::r332::c14
711,bb_7364::r332::c15
712,bb_7364::r332::c16
713,bb_7364::r332::c17
714,bb_7364::r332::c18
715,bb_7364::r332::c19
716,bb_7364::r332::c2
717,bb_7364::r332::c3
718,bb_7364::r332::c4
719,bb_7364::r332::c5
720,bb_7364::r332::c6
